Project,Method,Metric,Type,APFD,Setup (s),Prior (s),Total (s),Runs
Closure,LOGDET-codebert,euclidean,Submodular-Emb,0.7027 ± 0.0000,0.00,1186.54,1186.54,1
Closure,LOGDET-starencoder,cosine,Submodular-Emb,0.6786 ± 0.0000,0.00,361.70,361.70,1
Closure,LOGDET-starencoder,euclidean,Submodular-Emb,0.6954 ± 0.0000,0.00,1077.76,1077.76,1
Closure,GRAPHCUT-codexembed,cosine,Submodular-Emb,0.6012 ± 0.0000,0.00,930.48,930.48,1
Closure,GRAPHCUT-codexembed,euclidean,Submodular-Emb,0.5976 ± 0.0000,0.00,2134.84,2134.84,1
Closure,GRAPHCUT-unixcoder,cosine,Submodular-Emb,0.5826 ± 0.0000,0.00,442.33,442.33,1
Closure,GRAPHCUT-unixcoder,euclidean,Submodular-Emb,0.5662 ± 0.0000,0.00,647.99,647.99,1
Closure,GRAPHCUT-graphcodebert,cosine,Submodular-Emb,0.5257 ± 0.0000,0.00,718.63,718.63,1
Closure,GRAPHCUT-graphcodebert,euclidean,Submodular-Emb,0.5898 ± 0.0000,0.00,692.23,692.23,1
Closure,GRAPHCUT-codebert,cosine,Submodular-Emb,0.5360 ± 0.0000,0.00,1151.80,1151.80,1
Closure,GRAPHCUT-codebert,euclidean,Submodular-Emb,0.5789 ± 0.0000,0.00,642.38,642.38,1
Closure,GRAPHCUT-starencoder,cosine,Submodular-Emb,0.5610 ± 0.0000,0.00,1769.91,1769.91,1
Closure,GRAPHCUT-starencoder,euclidean,Submodular-Emb,0.5549 ± 0.0000,0.00,688.36,688.36,1
Closure,FAST-pw,N/A,FAST-Shingles,0.6196 ± 0.0179,6.05,21.11,27.16,50
Closure,FAST-all,N/A,FAST-Shingles,0.6238 ± 0.0149,6.03,0.05,6.08,50
Closure,FAST-sqrt,N/A,FAST-Shingles,0.6210 ± 0.0147,6.02,0.12,6.14,50
Closure,FAST-log,N/A,FAST-Shingles,0.6257 ± 0.0129,6.07,0.19,6.25,50
Closure,FAST-one,N/A,FAST-Shingles,0.6218 ± 0.0119,6.04,1.13,7.18,50
